Id,Type,Zoning Class,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Nbhd,Location Condition,Bldg Type,House Style,OvQual,Overall Cond,Built,Year Remod Add,Roof Style,Roof Material,Exterior Primary,Masonry/Veneer,Masonry/Veneer Area,Exterior Qual,Exterior Cond,Foundation,Basement Height,Basement Cond,Basement Exposure,Basement Finish,Basement Finished Area,Basement Unfinished Area,Basement Area,Heating Qual,CentralAir,Electrical,1st Floor Area,2nd Floor Area,Living Area Above Grade,Basement Full Baths,Basement Half baths,Full Baths Above Grade,Half Baths Above Grade,Bedrooms Above Grade,Kitchens Above Grade,Kitchen Qual,Total Rooms Above Grade,Functionality,Fireplaces,Fireplce Qual,Garage Type,Garage Yr Built,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck Area,Open Porch Area,Enclosed Porch Area,3 Season Porch Area,Screen Porch Area,Pool Area,Pool Qual,Fence,Sale Type,Sale Condition,Sale Price
1,2-STORY 1946 & NEWER,Resid Low Density,65,8450,NA,Regular,Level,Inside lot,Gentle,College Creek,Normal,1-family Detached,2 story,7,5,2003,2003,Gable,Composite Shingle,Vinyl Siding,Brick Face,196,Good,Average,Poured Contrete,"Good (90-99"")",Average,No Exposure,Good Living Quarters,706,150,856,Excellent,Y,Standard Circuit Breakers & Romex,856,854,1710,1,0,2,1,3,1,Good,8,Typical Functionality,0,No Fireplace,Attached to home,2003,Rough Finished,2,548,Average,Average,Paved ,0,61,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,208500
2,1-STORY 1946 & NEWER,Resid Low Density,80,9600,NA,Regular,Level,Frontage on 2 sides,Gentle,Veenker,Adjacent Feeder St,1-family Detached,1 story,6,8,1976,1976,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Cinder Block,"Good (90-99"")",Average,Good Exposure,Avg Living Quarters,978,284,1262,Excellent,Y,Standard Circuit Breakers & Romex,1262,0,1262,0,1,2,0,3,1,Average,6,Typical Functionality,1,Average,Attached to home,1976,Rough Finished,2,460,Average,Average,Paved ,298,0,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,181500
3,2-STORY 1946 & NEWER,Resid Low Density,68,11250,NA,Slightly irregular,Level,Inside lot,Gentle,College Creek,Normal,1-family Detached,2 story,7,5,2001,2002,Gable,Composite Shingle,Vinyl Siding,Brick Face,162,Good,Average,Poured Contrete,"Good (90-99"")",Average,Min Exposure,Good Living Quarters,486,434,920,Excellent,Y,Standard Circuit Breakers & Romex,920,866,1786,1,0,2,1,3,1,Good,6,Typical Functionality,1,Average,Attached to home,2001,Rough Finished,2,608,Average,Average,Paved ,0,42,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,223500
4,2-STORY 1945 & OLDER,Resid Low Density,60,9550,NA,Slightly irregular,Level,Corner lot,Gentle,Crawford,Normal,1-family Detached,2 story,7,5,1915,1970,Gable,Composite Shingle,Wood Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Good,No Exposure,Avg Living Quarters,216,540,756,Good,Y,Standard Circuit Breakers & Romex,961,756,1717,1,0,1,0,3,1,Good,7,Typical Functionality,1,Good,Detached from home,1998,Unfinished,3,642,Average,Average,Paved ,0,35,272,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",140000
5,2-STORY 1946 & NEWER,Resid Low Density,84,14260,NA,Slightly irregular,Level,Frontage on 2 sides,Gentle,Northridge,Normal,1-family Detached,2 story,8,5,2000,2000,Gable,Composite Shingle,Vinyl Siding,Brick Face,350,Good,Average,Poured Contrete,"Good (90-99"")",Average,Avg Exposure,Good Living Quarters,655,490,1145,Excellent,Y,Standard Circuit Breakers & Romex,1145,1053,2198,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average,Attached to home,2000,Rough Finished,3,836,Average,Average,Paved ,192,84,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,250000
6,1-1/2 STORY ALL AGES,Resid Low Density,85,14115,NA,Slightly irregular,Level,Inside lot,Gentle,Mitchell,Normal,1-family Detached,1.5 story: 2nd level fin,5,5,1993,1995,Gable,Composite Shingle,Vinyl Siding,None,0,Average,Average,Wood,"Good (90-99"")",Average,No Exposure,Good Living Quarters,732,64,796,Excellent,Y,Standard Circuit Breakers & Romex,796,566,1362,1,0,1,1,1,1,Average,5,Typical Functionality,0,No Fireplace,Attached to home,1993,Unfinished,2,480,Average,Average,Paved ,40,30,0,320,0,0,No Pool,Minimum Privacy,Warranty Deed - Conventional,Normal Sale,143000
7,1-STORY 1946 & NEWER,Resid Low Density,75,10084,NA,Regular,Level,Inside lot,Gentle,Somerset,Normal,1-family Detached,1 story,8,5,2004,2005,Gable,Composite Shingle,Vinyl Siding,Stone,186,Good,Average,Poured Contrete,"Excellent (100+"")",Average,Avg Exposure,Good Living Quarters,1369,317,1686,Excellent,Y,Standard Circuit Breakers & Romex,1694,0,1694,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2004,Rough Finished,2,636,Average,Average,Paved ,255,57,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,307000
8,2-STORY 1946 & NEWER,Resid Low Density,NA,10382,NA,Slightly irregular,Level,Corner lot,Gentle,Northwest Ames,Near Pos Feature,1-family Detached,2 story,7,6,1973,1973,Gable,Composite Shingle,Hard Board,Stone,240,Average,Average,Cinder Block,"Good (90-99"")",Average,Min Exposure,Avg Living Quarters,859,216,1107,Excellent,Y,Standard Circuit Breakers & Romex,1107,983,2090,1,0,2,1,3,1,Average,7,Typical Functionality,2,Average,Attached to home,1973,Rough Finished,2,484,Average,Average,Paved ,235,204,228,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,200000
9,1-1/2 STORY ALL AGES,Resid Med Density,51,6120,NA,Regular,Level,Inside lot,Gentle,Old Town,Adjacent Arterial St,1-family Detached,1.5 story: 2nd level fin,7,5,1931,1950,Gable,Composite Shingle,Brick Face,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Unfinshed,0,952,952,Good,Y,60 AMP Fuse Box and mostly Romex wiring (Fair),1022,752,1774,0,0,2,0,2,2,Average,8,Minor Deductions 1,2,Average,Detached from home,1931,Unfinished,2,468,Fair,Average,Paved ,90,0,205,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",129900
10,2 FAMILY CONVERSION,Resid Low Density,50,7420,NA,Regular,Level,Corner lot,Gentle,Brookside,Adjacent Arterial St,2-family Conversion,1.5 story: 2nd level unfin,5,6,1939,1950,Gable,Composite Shingle,Metal Siding,None,0,Average,Average,Brick & Tile,"Typical (80-89"")",Average,No Exposure,Good Living Quarters,851,140,991,Excellent,Y,Standard Circuit Breakers & Romex,1077,0,1077,1,0,1,0,2,2,Average,5,Typical Functionality,2,Average,Attached to home,1939,Rough Finished,1,205,Good,Average,Paved ,0,4,0,0,0,0,No Pool,No Fence,Warranty Deed - Conventional,Normal Sale,118000
