Id,Dwelling Type,Lot Frontage,Lot Area,Alley,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,Basement Area,1st Floor Area,2nd Floor Area,Living Area Above Grade,Basement Full Baths,Basement Half baths,Full Baths Above Grade,Half Baths Above Grade,Bedrooms Above Grade,Kitchens Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Yr Built,Garage Finish,Garage Cars,Wood Deck Area,Open Porch Area,Enclosed Porch Area,3 Season Porch Area,Screen Porch Area,Pool Area,Sale Condition,Sale Price
1,2-STORY 1946 & NEWER,65.0,8450,,Level,College Creek,Normal,7,5,2003,196.0,706,150,856,856,854,1710,1,0,2,1,3,1,Good,8,0,2003.0,Rough Finished,2,0,61,0,0,0,0,Normal Sale,208500
2,1-STORY 1946 & NEWER,80.0,9600,,Level,Veenker,Adjacent Feeder St,6,8,1976,0.0,978,284,1262,1262,0,1262,0,1,2,0,3,1,Average,6,1,1976.0,Rough Finished,2,298,0,0,0,0,0,Normal Sale,181500
3,2-STORY 1946 & NEWER,68.0,11250,,Level,College Creek,Normal,7,5,2001,162.0,486,434,920,920,866,1786,1,0,2,1,3,1,Good,6,1,2001.0,Rough Finished,2,0,42,0,0,0,0,Normal Sale,223500
4,2-STORY 1945 & OLDER,60.0,9550,,Level,Crawford,Normal,7,5,1915,0.0,216,540,756,961,756,1717,1,0,1,0,3,1,Good,7,1,1998.0,Unfinished,3,0,35,272,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",140000
5,2-STORY 1946 & NEWER,84.0,14260,,Level,Northridge,Normal,8,5,2000,350.0,655,490,1145,1145,1053,2198,1,0,2,1,4,1,Good,9,1,2000.0,Rough Finished,3,192,84,0,0,0,0,Normal Sale,250000
6,1-1/2 STORY ALL AGES,85.0,14115,,Level,Mitchell,Normal,5,5,1993,0.0,732,64,796,796,566,1362,1,0,1,1,1,1,Average,5,0,1993.0,Unfinished,2,40,30,0,320,0,0,Normal Sale,143000
7,1-STORY 1946 & NEWER,75.0,10084,,Level,Somerset,Normal,8,5,2004,186.0,1369,317,1686,1694,0,1694,1,0,2,0,3,1,Good,7,1,2004.0,Rough Finished,2,255,57,0,0,0,0,Normal Sale,307000
8,2-STORY 1946 & NEWER,,10382,,Level,Northwest Ames,Near Pos Feature,7,6,1973,240.0,859,216,1107,1107,983,2090,1,0,2,1,3,1,Average,7,2,1973.0,Rough Finished,2,235,204,228,0,0,0,Normal Sale,200000
9,1-1/2 STORY ALL AGES,51.0,6120,,Level,Old Town,Adjacent Arterial St,7,5,1931,0.0,0,952,952,1022,752,1774,0,0,2,0,2,2,Average,8,2,1931.0,Unfinished,2,90,0,205,0,0,0,"Abnormal Sale -  trade, foreclosure, short sale",129900
10,2 FAMILY CONVERSION,50.0,7420,,Level,Brookside,Adjacent Arterial St,5,6,1939,0.0,851,140,991,1077,0,1077,1,0,1,0,2,2,Average,5,2,1939.0,Rough Finished,1,0,4,0,0,0,0,Normal Sale,118000
11,1-STORY 1946 & NEWER,70.0,11200,,Level,Sawyer,Normal,5,5,1965,0.0,906,134,1040,1040,0,1040,1,0,1,0,3,1,Average,5,0,1965.0,Unfinished,1,0,0,0,0,0,0,Normal Sale,129500
12,2-STORY 1946 & NEWER,85.0,11924,,Level,Northridge Heights,Normal,9,5,2005,286.0,998,177,1175,1182,1142,2324,1,0,3,0,4,1,Excellent,11,2,2005.0,Finished,3,147,21,0,0,0,0,Home was not completed when last assessed (associated with New Homes),345000
