,LotDescription,Parent#,Revenue,ParentID,LotID
0,CED2NV RG 60 - Navy Flame Resistant Bottoms,B00JIL6QTG,276170.69000000006,387,234.0
1,5360 - Black Uniforms Bottoms,B00O7PBMG0,111618.48000000001,431,176.0
2,CT10 - Black Coveralls,B00O971DVA,83318.81000000001,485,270.0
3,CT10 - Orange Coveralls,B00O971DVA,68032.37,485,276.0
4,SEW2NV LN M - Navy Flame Resistant Tops,B00HUA6JL2,65217.3,356,677.0
5,PEW2NV 30 34 - Navy Flame Resistant Bottoms,B00HUA5A26,64388.509999999995,346,453.0
6,2020 - White Uniforms Bottoms,B00O7PBM6A,63422.229999999996,429,141.0
7,413 - White Uniforms Jackets,B00O7PBRJW,61658.119999999995,440,154.0
8,KEL2LB RG XXL - Light Blue Flame Resistant Outerwear,B00HUA4F90,50391.729999999996,337,349.0
9,CT10 - Electric Blue Coveralls,B00O971DVA,41400.130000000005,485,273.0
10,CP40 - Navy Coveralls,B00O971DU6,39819.26,484,268.0
11,CT10 - Navy Coveralls,B00O971DVA,37931.579999999994,485,274.0
12,PEJ4DW 48 34 - Blue Denim Flame Resistant Bottoms,B00HUA514S,37074.37,344,445.0
13,KT30 - Navy Outerwear,B00O971TWI,37009.61,503,386.0
14,RD60 - Medium Wash Jeans,B019XDXKUG,36687.450000000004,673,614.0
15,CT16 - White Coveralls,B00O971EJ6,36655.32,487,280.0
16,AB12BK - Black Accessories,B00O97199Q,36420.73,473,199.0
17,CEC2NV RG 60 - Navy Flame Resistant Bottoms,B00JIL6OLG,36241.59,386,230.0
18,5700 - White Outerwear,B00O9729B8,31493.17,522,178.0
19,CNC2NV LN 52 - Navy Flame Resistant Bottoms,B00JIL6UNS,28850.369999999995,390,263.0
20,PT20 - Charcoal Pants,B00O4UYXSC,28636.04,407,484.0
21,SP24 - Black Woven Shirts,B00O9734IK,26985.05,572,896.0
22,CEB2NV RG 50 - Navy Flame Resistant Bottoms,B00HUA17KK,26823.57,315,227.0
23,CT10 - White Coveralls,B00O971DVA,26509.350000000002,485,279.0
